id,place_name,average_rating,granular_category,lat,lng
7778,Mille Feuille,3.8,cafe,24.5550057,46.7022096
7779,Coffee Copy Lounge,3.1,cafe,24.5591921,46.7039658
7780,Shisha CafÃ©,3.4,cafe,24.5594017,46.7040707
7781,Half a million,4.3,cafe,24.5564411,46.7023298
7782,Coffee Mines Foundation,4.5,cafe,24.5570189,46.7471306
7783,Jawhara Al -Awal CafÃ©,3.4,cafe,24.527006,46.7176277
7784,Khokha juices and gray,3.7,cafe,24.5525974,46.7003753
7785,Her Highness Coffee,2.6,cafe,24.5620777,46.7754955
7786,Coven Cafe,4.8,cafe,24.5620712,46.7755464
7787,The most beautiful things and ðŸ’•,,cafe,24.5862105,46.7788306
7788,Shahi,,cafe,24.5862113,46.7788393
7789,Tilal Trading Company,,cafe,24.5862113,46.7788393
7790,Tea crops,4.6,cafe,24.5861952,46.7716919
7791,Long,,cafe,24.5862235,46.7714619
7792,Fawy,,cafe,24.5618577,46.7736914
7793,Al -Dossary CafÃ©,4.6,cafe,24.5617321,46.7750457
7794,Moroccan mood,4.4,cafe,24.5821701,46.7644634
7795,Azizia,1,cafe,24.587051,46.773544
7796,the,5,cafe,24.5871748,46.77789
7797,Capital tea,4.4,cafe,24.57626,46.7895261
7798,Black ball hall,3.9,cafe,24.5865912,46.7805046
7799,CafÃ© Step Qaid,5,cafe,24.5680067,46.7883915
7800,Kyan - Kyan,4.1,cafe,24.5672599,46.762555
7801,East Asia buffet,,cafe,24.5872158,46.7706385
7802,Baroli CafÃ© neighborhood Al -Azizia,4.1,cafe,24.5830065,46.7637921
7803,Diwaniya was bought to serve drinks,3.6,cafe,24.5773739,46.7899507
7804,Trophy,5,cafe,24.5658204,46.7633949
7805,Kentucky chicken,3.6,restaurant,24.6638132,46.706475
7806,Red onion restaurant,3.9,restaurant,24.678388,46.6932021
7807,Fraser Switz,4.1,restaurant,24.6792087,46.6918415
7808,Holiday In - the field,4.1,restaurant,24.6782811,46.6915016
7809,Anardana,3.8,restaurant,24.6669554,46.6963365
7810,CafÃ© central Cairo,4,cafe,24.6459503,46.7023641
7811,Barn,4.2,cafe,24.6873716,46.7238729
7812,Yu Kofi,4,cafe,24.6873749,46.7240016
7813,Tim Hortons,4,cafe,24.6903513,46.7212133
7814,Cup of coffee,3.8,cafe,24.6842758,46.7255883
7815,Dunkin ' - Dunkin,,cafe,24.6864944,46.717312
7816,It was enough,4.6,cafe,24.6836017,46.725673
7817,La Veranda CafÃ©,,cafe,24.6891874,46.7175639
7818,Kofi Ezz Coffee,4.2,cafe,24.6829729,46.7258798
7819,Send K - Jerajer Kofi Bakri,4.1,cafe,24.6916322,46.7183972
7820,Coded,,cafe,24.6860806,46.7152173
7821,Dalla Zaman CafÃ©,4.6,cafe,24.6797421,46.7226179
7822,Kif Specialist CafÃ©,4.2,cafe,24.679687,46.7211353
7823,Barn's |Barn,3.5,cafe,24.6935397,46.7218082
7824,Chudleight's Cafe,4,cafe,24.6935389,46.7215355
7825,Shahi and enough,4.3,cafe,24.6796837,46.7229785
7826,Bokha original Bukha,4.4,restaurant,24.8586823,46.6240921
7827,McDonald's,3.7,restaurant,24.850947,46.602847
7828,Hashi PashaBranch Branch,4,restaurant,24.8712497,46.6176755
7829,Pizza Reef REEF,3.8,restaurant,24.8718043,46.6165615
7830,Mandi address,4.5,restaurant,24.8583894,46.6241975
7831,Kabsa firewood,3.1,restaurant,24.8584016,46.6242043
7832,Stars for Pisa at Fatayer,4.5,restaurant,24.8719065,46.6165093
7833,My Gabati and Karak Karak road,3.6,restaurant,24.8505625,46.6031875
7834,Nawara RestaurantNawara Restaurant,4.1,restaurant,24.8714357,46.6176279
7835,Karak road buffet,3.6,restaurant,24.8505021,46.6031722
7836,Jude Al -Balad Al -Bukhari Restaurant,3.2,restaurant,24.8720568,46.6164129
7837,Salou Barbakio Smok,4.5,restaurant,24.8734466,46.6091276
7838,Romance,4.3,restaurant,24.8487409,46.603468
7839,Cherry grills,4,restaurant,24.8695115,46.62254
7840,The Damascene Pyramid,3.8,restaurant,24.8562385,46.6253017
7841,Rice people,3.6,restaurant,24.8484254,46.6037918
7842,Maestro,3.6,restaurant,24.8481679,46.6040901
7843,Falafel,3.6,restaurant,24.8481712,46.6039493
7844,MarkExhibitor,4.5,restaurant,24.8481417,46.6039364
7845,Bukhari Naz,3.7,restaurant,24.8480314,46.6039942
7846,Java Cafe,3.3,cafe,24.7529385,46.8608148
7847,Buffed place stars for fast food,3.5,restaurant,24.7604573,46.8408234
7848,Originally,4.3,restaurant,24.7603293,46.8406871
7849,Fasting corner for fast food,3.8,restaurant,24.7690851,46.8296973
7850,buffet,5,restaurant,24.7709254,46.8546681
7851,Housing families- Public Security Riyadh,5,restaurant,24.7709443,46.8546815
7852,Burger Mashwi/grilled burger,1,restaurant,24.7709408,46.8546851
7853,Effendi compressed,3.5,restaurant,24.7705736,46.8292367
7854,Hot pasta,4.4,restaurant,24.6299614,46.6913507
7855,Romance -AziziaAl romansiah,4.3,restaurant,24.5998497,46.748558
7856,Herfy,3.8,restaurant,24.6152174,46.7569474
7857,Harm Retorna,4.7,restaurant,24.6068413,46.7292275
7858,Tasting Al -Tabnah restaurant for Egyptian food and fish,5,restaurant,24.6064416,46.7301124
7859,Bukhari Restaurant,3.9,restaurant,24.6067643,46.7291339
7860,Ludhi Restaurant,3.7,restaurant,24.6067349,46.7290547
